Date,Location,Minimum Temperature,Maximum Temperature,Evaporation,Sunshine
2009-01-01,Sydney,18.4,34.7,9.8,12.9
2009-01-02,Sydney,18.8,22.7,11,5.9
2009-01-03,Sydney,17,23,9,0.5
2009-01-04,Sydney,18.7,24.6,5.4,11.3
2009-01-05,Sydney,19.5,27.9,10,12.2
2009-01-06,Sydney,20.2,28.3,10,11.8
2009-01-07,Sydney,20.7,33.1,9,9.3
2009-01-08,Sydney,20.4,22.4,9.8,0.01
2009-01-09,Sydney,17.2,22.6,7.6,5.9
2009-01-10,Sydney,18.3,23.4,7.6,6.1
2009-01-11,Sydney,17.4,24.6,6.6,8.7
2009-01-12,Sydney,18.7,26.8,8.8,11.4
2009-01-13,Sydney,19.6,26.2,4.2,11.1
2009-01-14,Sydney,20.8,29.7,10.2,13
2009-01-15,Sydney,23,33.4,14.2,9.4
2009-01-16,Sydney,18.8,25,10.2,10.1
2009-01-17,Sydney,17.7,22.6,10.4,6.5
2009-01-18,Sydney,14.8,23.3,5.6,12.7
2009-01-19,Sydney,16.4,25.1,11,12.7
2009-01-20,Sydney,20.1,28.7,9,12.4
2009-01-21,Sydney,21.3,31.1,12.8,7.4
2009-01-22,Sydney,23.4,33.6,8,9.8
2009-01-23,Sydney,25,31.7,14.2,11.9
2009-01-24,Sydney,24.8,40.9,10.6,11.1
2009-01-25,Sydney,20.5,25.9,13.6,6.8
2009-01-26,Sydney,20.8,26.8,6.8,1.2
2009-01-27,Sydney,20.2,23.9,1.8,1.7
2009-01-28,Sydney,19.9,27.1,1.8,12.3
2009-01-29,Sydney,21.2,28.3,8.6,12.5
2009-01-30,Sydney,21.1,28.2,10.2,13
2009-01-31,Sydney,21.8,29.1,10.6,11.5
2009-02-01,Sydney,21.2,28.1,9.2,11.1
2009-02-02,Sydney,22.9,28.3,6.4,9.8
2009-02-03,Sydney,21.8,28,10.8,7.5
2009-02-04,Sydney,21.6,27.3,7,7.1
2009-02-05,Sydney,22.2,29.2,6.6,12.2
2009-02-06,Sydney,21.9,29.5,9.8,10.8
2009-02-07,Sydney,21.8,33.5,10.4,11.8
2009-02-08,Sydney,21.4,28.6,14.2,12.2
2009-02-09,Sydney,20.9,22.5,9,0.01
2009-02-10,Sydney,17.9,19.4,1.6,0.01
2009-02-11,Sydney,16.7,23,2.2,1.5
2009-02-12,Sydney,17.5,22,4,1.1
2009-02-13,Sydney,16.4,20.4,5.4,0.01
2009-02-14,Sydney,17,21.2,4.4,0.01
2009-02-15,Sydney,16.5,23.3,2.4,0.2
2009-02-16,Sydney,18.6,25,4.8,6.4
2009-02-17,Sydney,19.4,22.9,7.4,0.01
2009-02-18,Sydney,19.4,26.6,3.2,7.1
2009-02-19,Sydney,18.9,28.4,3.6,11.4
2009-02-20,Sydney,20.3,26.1,7.8,9.6
2009-02-21,Sydney,21.9,24.4,6.4,0.3
2009-02-22,Sydney,20.3,24.9,2.4,6.3
2009-02-23,Sydney,19.6,27,4.6,5.3
2009-02-24,Sydney,19.9,30.5,5.4,10.7
2009-02-25,Sydney,21.1,26.4,7,7
2009-02-26,Sydney,19.6,24.6,7.6,6.8
2009-02-27,Sydney,17.5,23.5,6,5.6
2009-02-28,Sydney,17.5,25.4,4.8,5.6
2009-03-01,Sydney,20.5,25.7,6.8,10
2009-03-02,Sydney,21.8,25.5,6,9
2009-03-03,Sydney,20.8,26.9,6.8,6.9
2009-03-04,Sydney,22.5,25.1,7.6,0.5
2009-03-05,Sydney,16.8,24.6,5,11
2009-03-06,Sydney,14.4,23.6,7.8,9.8
2009-03-07,Sydney,17.7,26.3,4.8,9.2
2009-03-08,Sydney,20.2,25.3,5,4.1
2009-03-09,Sydney,18.2,24.5,2,4.4
2009-03-10,Sydney,19.1,24.5,3.6,6.7
2009-03-11,Sydney,20.2,23.4,6.2,1.8
2009-03-12,Sydney,18.2,25.3,5,9.8
2009-03-13,Sydney,19.6,25.5,6.4,2.2
2009-03-14,Sydney,19.9,27.2,4,6.4
2009-03-15,Sydney,19.2,27.4,8.4,6.6
2009-03-16,Sydney,16.1,26.8,6.8,10.8
2009-03-17,Sydney,15.9,25.7,6.1,11
2009-03-18,Sydney,17.1,24.5,5.4,10.1
2009-03-19,Sydney,17.5,27.7,6,9.7
2009-03-20,Sydney,19.9,26.1,6.2,8.6
2009-03-21,Sydney,19.6,25.3,6.2,8.7
2009-03-22,Sydney,17.6,26.7,5.6,8.4
2009-03-23,Sydney,19.5,25.7,8,10.2
2009-03-24,Sydney,20.5,26.1,5.8,10.8
2009-03-25,Sydney,20.8,26,7,8
2009-03-26,Sydney,20.5,26.6,5.2,7.6
2009-03-27,Sydney,20.6,23.5,5.8,4.8
2009-03-28,Sydney,16.4,23.5,4.4,10.8
2009-03-29,Sydney,16.1,24.4,6.6,9.4
2009-03-30,Sydney,18.6,26.2,4,6.7
2009-03-31,Sydney,19.8,22.5,6,0.01
2009-04-01,Sydney,18.4,24.7,5,2.3
2009-04-02,Sydney,19.6,24.7,3.8,2.4
2009-04-03,Sydney,20.1,25.1,2.6,7.9
2009-04-04,Sydney,18.3,20.8,4.2,1.4
2009-04-05,Sydney,17.1,22.8,5.6,8
2009-04-06,Sydney,17,21.1,3.4,6.9
2009-04-07,Sydney,16.3,21.3,5.8,7.7
2009-04-08,Sydney,12.8,22.4,5.6,9.3
2009-04-09,Sydney,15.1,23.2,2.8,8.4
2009-04-10,Sydney,14.7,22.7,4,8.3
2009-04-11,Sydney,17.4,23.8,3.2,0.8
2009-04-12,Sydney,18.9,26.1,0.8,0.01
2009-04-13,Sydney,20.4,22.6,3.6,0.1
2009-04-14,Sydney,17.6,26.9,0.01,7.8
2009-04-15,Sydney,16.1,29.3,5,10
2009-04-16,Sydney,14.9,24.1,10,9.8
2009-04-17,Sydney,13.5,24.1,4.8,10.3
2009-04-18,Sydney,14.2,22.8,5.2,7.9
2009-04-19,Sydney,15.8,22.5,3.4,8.3
2009-04-20,Sydney,15.9,21.4,7,2.9
2009-04-21,Sydney,16.4,22.1,5.4,5
2009-04-22,Sydney,16,22.7,3.4,7.7
2009-04-23,Sydney,14.7,21.6,4.2,6.3
2009-04-24,Sydney,13.1,24.7,2,9
2009-04-25,Sydney,16.3,23.9,5.4,10.3
2009-04-26,Sydney,16.7,20.2,6.8,9.2
2009-04-27,Sydney,11.2,18.7,7.2,9.9
2009-04-28,Sydney,11.8,21.9,4,10.5
2009-04-29,Sydney,10.2,17.6,4.6,2.4
2009-04-30,Sydney,11,17.4,2.4,2.7
2009-05-01,Sydney,10.2,22.5,3,10.3
2009-05-02,Sydney,10.9,22,2.2,9.4
2009-05-03,Sydney,11.4,20.5,3.6,7
2009-05-04,Sydney,12.1,23.3,3.2,10
2009-05-05,Sydney,14,21,1.8,4.2
2009-05-06,Sydney,12.9,22.9,3.2,9.7
2009-05-07,Sydney,12,22.7,4,10.2
2009-05-08,Sydney,12.3,20.9,2.6,9.5
2009-05-09,Sydney,11.1,22.8,4.4,9.8
2009-05-10,Sydney,13,20.1,3.4,3.4
2009-05-11,Sydney,11.8,18.9,3.4,6.4
2009-05-12,Sydney,9.6,20.1,2.6,5.5
2009-05-13,Sydney,10.4,21.3,1.6,9.7
2009-05-14,Sydney,11.1,21.5,2.6,10.1
2009-05-15,Sydney,12.4,21.7,6.2,8.7
2009-05-16,Sydney,14.2,21.7,5,7.8
2009-05-17,Sydney,11.4,20.7,4.8,9.7
2009-05-18,Sydney,10.5,20.9,2.6,5.2
2009-05-19,Sydney,13,21.4,2.4,4.4
2009-05-20,Sydney,14.5,21.2,4.4,3
2009-05-21,Sydney,14.8,19.7,1.8,0.2
2009-05-22,Sydney,15.6,19.6,6.6,0.01
2009-05-23,Sydney,15.4,20.8,5,6
2009-05-24,Sydney,17.4,21.3,4.4,7.4
2009-05-25,Sydney,13.6,20.3,3.6,2.2
2009-05-26,Sydney,12.8,23.4,0.6,8.4
2009-05-27,Sydney,13.9,16.9,3,0.1
2009-05-28,Sydney,12,19.2,0.4,7.7
2009-05-29,Sydney,11.4,17.5,2.4,6.1
2009-05-30,Sydney,9.9,16.5,4.6,4
2009-05-31,Sydney,11.6,18.8,1.2,2.8
2009-06-01,Sydney,13.1,16.8,3,0.01
